"","C002","C004","C005","C006","C007","C009","C010","C011","C012","C015","C016","C017","C019","C020","C021","C022","C024","C026","C028","C029","C030","C031","C032","C033","C034","P002","P012","P014","P027","P034","P037","P038","P041","P042","P049","P056","P058","P060","P064","P065","P070","P080","P085","P086","P089","P092","P099","P113","P013b","P100b"
"Bin.8.62"," 0.02104401","-0.11915656","-0.14535875","-1.15900127","-0.26878613","-0.42587322","-0.02838151","-0.54629908"," 0.23090360"," 0.31571227","-0.34656491"," 0.12777192","-0.67781468","-0.09800997","-0.06250480","-0.20590906"," 0.21312451","-0.33197354"," 0.17897122","-0.22543854"," 0.07100912","-0.44503573","-0.12600536","-5.80448431"," 0.36865218"," 0.09448822"," 0.67790770"," 0.58383400"," 0.33885716"," 0.27120476","-0.04184949"," 0.52562789"," 0.46062915"," 0.47185090"," 0.47029271"," 0.28931336"," 0.28237090"," 0.37468315"," 0.58397101"," 0.50103750"," 0.37605429"," 0.04409543"," 0.89618531"," 0.47269065"," 0.75589906"," 0.26777669"," 0.27835938","-0.79832049"," 0.68678067"," 0.62566868"
"Bin.8.58","-0.03372627","-0.06654344","-0.23801529","-0.96962462","-0.66050729","-0.48410147","-0.30698660","-0.76295901"," 0.18423479"," 0.11961897","-0.81812016"," 0.15152916","-0.24148930","-0.12822236"," 0.04293684","-0.88937741"," 0.12061591","-0.52278428"," 0.19453162","-0.24334592"," 0.05300182","-0.51736345","-0.51982680","-1.52433250"," 0.49167155","-0.23161724"," 0.71399033"," 0.55126078"," 0.22283712"," 0.38204759","-0.18022607"," 0.53758763"," 0.44664720"," 0.45237167"," 0.58120476"," 0.23522502"," 0.18902168"," 0.17968557"," 0.49197602"," 0.47405977"," 0.08162592","-0.27043825"," 1.05144160"," 0.40090000"," 0.79274011"," 0.06000095"," 0.20404544","-1.13059544"," 0.66695831"," 0.66643501"
"Bin.8.54"," 0.416485770"," 0.229784965"," 0.232394639","-0.378637529","-0.411103497","-0.125002961","-0.181468356","-0.788183582"," 0.289863722"," 0.072715171","-0.438190992"," 0.540654871"," 0.508688153"," 0.481986986"," 1.215014270"," 0.220420177"," 0.239364597"," 0.175445398"," 0.502957864"," 0.123477923"," 0.808506398","-0.260580683","-0.058490064","-0.405292253"," 0.654082449","-0.887117230"," 0.173186848","-0.377746292"," 0.411306298","-0.376247448"," 0.011024405"," 0.009151231","-0.417104647"," 0.542216488"," 0.608999273"," 0.019079019"," 0.224707113","-0.351021760","-0.413365515","-0.172232233","-0.403367591","-1.139410209"," 0.320533694","-0.121627237"," 0.055794151"," 0.077978705","-0.014496292","-1.242739258","-0.260952071"," 0.058557121"
"Bin.8.50"," 0.322683065","-0.196466441","-0.017491990","-0.865668569","-0.283843453","-0.397476682","-0.435385891","-1.099854864","-0.001497669","-0.039279404","-0.713073738"," 0.472289982","-0.049477191"," 0.388787262"," 0.811446606"," 0.001573610","-0.007293357","-0.310839476"," 0.107599300","-0.220967849"," 0.610641551","-0.774323467","-0.266289986","-0.586307446"," 0.515304032","-0.748199250"," 0.594088266"," 0.105077363"," 0.239678338","-0.110598512"," 0.134546535"," 0.420954081"," 0.066265369"," 0.623912866"," 0.239635276","-0.047729077"," 0.141846477","-0.199239642"," 0.112255859"," 0.487389485"," 0.134086077","-0.891703575"," 0.761105808"," 0.107006130"," 0.614042241"," 0.178961239"," 0.028632739","-1.072799964"," 0.327095767"," 0.788902163"
"Bin.8.46"," 0.29358211"," 0.06270073","-0.22155361","-0.20179612","-0.36694668","-0.04769875","-0.16952130","-0.49848775"," 0.05610041","-0.23124671"," 0.01408004"," 0.02435166","-0.45820274"," 0.06451058","-0.29002942","-0.16171067"," 0.00908938","-0.31522127"," 0.05291154","-0.27798545"," 0.14255576","-0.22403894","-0.10566661"," 0.02729497"," 0.61236348","-0.30894633"," 0.64666759"," 0.67988331","-0.16202037","-0.12688574"," 0.94551208"," 0.17678050"," 0.33540660"," 0.27050730"," 0.16934803","-0.03904589","-0.23624507"," 1.36945935"," 0.23006966"," 0.04469966","-0.39337966","-1.06089168"," 0.55786761"," 0.08674948"," 0.34958225","-0.64982709","-0.60553302","-0.67910373"," 0.27282591"," 0.33708460"
"Bin.8.42"," 0.11449170"," 0.08651463","-0.29484701","-1.79484744","-0.64247406","-0.47975904","-0.39913264","-0.67028969"," 0.33888271","-0.05992969","-0.96132177"," 0.20864495","-0.45591583"," 0.13822964","-0.14183199","-1.18017575"," 0.16354692","-1.32256960"," 0.08278969","-0.55539613"," 0.11095385","-0.37529015","-0.46301626","-1.51617580"," 0.39929950","-0.18393566"," 0.78035440"," 0.57693746"," 0.43471223"," 0.20303313","-0.24197082"," 0.60154441"," 0.62292684"," 0.49776435"," 0.65419153"," 0.26964687"," 0.05289064"," 0.26140175"," 0.54941715"," 0.55937339"," 0.22921779","-0.29188348"," 1.03054767"," 0.52259953"," 0.89424669"," 0.05448719"," 0.07582445","-0.31270461"," 0.80651551"," 1.02248089"
"Bin.8.38","-0.20644125","-0.14710966"," 0.17421823","-0.04423177","-0.85043663","-0.97194697"," 0.16217461","-0.19711191"," 0.27160426","-0.17242869","-0.80806888","-0.09763637","-0.43191424","-0.13355146","-0.61925247","-1.18947330"," 0.24066242","-1.02304902","-0.10306655"," 0.10117737","-0.04222198","-0.17791094","-0.57446560","-1.80005356"," 0.26867972","-0.19427841"," 0.88126213"," 0.44935618"," 0.39318378"," 0.30297468","-0.23231175"," 0.56191474"," 0.45794871"," 0.35097256"," 0.44664978"," 0.29889860","-0.02356240"," 0.32664534"," 0.51712715"," 0.78911164"," 0.13844082","-0.36103482"," 0.91617655"," 0.43129917"," 0.80928715","-0.02838532"," 0.01302405","-0.26078980"," 0.63296984"," 0.75497427"
"Bin.8.34","-0.21037254","-0.31045759","-0.47519789"," 0.02919976","-1.06725996","-0.16698698","-0.08139140"," 0.07380894"," 0.30851887"," 0.02180073","-0.73088737","-0.10518536","-0.27122105","-0.20538545","-0.59353233"," 0.01089850"," 0.49426828","-0.01992774","-0.32913496","-0.09073771","-0.07774987","-0.55593344","-0.28190283","-0.34730461","-0.16094048"," 0.15012086"," 0.49033508"," 0.43555351","-0.09659282"," 0.17918459","-0.13700613"," 0.43407188","-0.01440773"," 0.03055799"," 0.30737115"," 0.49881530","-0.18425867"," 0.47923954"," 0.62565115"," 0.92634117","-0.11546968","-0.83323512"," 0.68136969"," 0.35914236"," 0.56956170"," 0.13158037"," 0.09571347","-0.75318769"," 0.45453596"," 0.42802651"
"Bin.8.30","-0.18109779","-0.01046968","-0.34514680","-0.64908313","-0.60208164","-0.60497477","-0.37539438","-0.39430642"," 0.04761543","-0.74419460","-0.64612005","-0.20051350","-0.69945454","-0.34771559","-0.43767442","-0.18581179"," 0.02704491","-0.21240050","-0.07501618","-0.41744306","-0.27188475","-0.30829205","-0.28993881","-0.41328881"," 0.14465362","-0.16734076"," 0.66638877"," 0.21525525","-0.01093057"," 0.25426798","-0.45159251"," 0.41070265"," 0.39690187"," 0.37562689"," 0.41724647"," 0.42262783"," 0.45807099"," 0.41210857"," 0.32876714"," 0.43130573"," 0.01033914","-0.73291780"," 1.04702535"," 0.45661305"," 0.72049860"," 0.49589276"," 0.70219436","-0.71887877"," 0.96197513"," 1.09084117"
"Bin.8.26"," 0.006829598","-0.178763187","-0.212198771","-0.774094691","-0.266446523","-0.117237524","-0.080081152","-0.261333800","-0.202581607","-0.511238804","-0.199375806","-0.281885283","-0.509503700","-0.297912031","-0.314060520","-0.868968655"," 0.197276251","-0.776523011"," 0.080111180","-0.149038810","-0.290130441","-0.245310229","-0.350738552","-1.205520279"," 0.139724927","-0.288389155"," 0.647673661"," 0.311717433"," 0.168523458"," 0.632227466","-0.497444912"," 0.431329715"," 0.639734520"," 0.397639929"," 0.408190203"," 0.442386790"," 0.232595156"," 0.196402976"," 0.287851255"," 0.801643622"," 0.007392835","-0.634444063"," 1.065849807"," 0.399224509"," 0.694749398"," 0.013458889"," 0.002268699","-0.466330983"," 0.673545544"," 1.101204669"
"Bin.8.22","-0.127454073","-0.085979893","-0.148720052","-0.269673406","-1.054554985","-0.213023103","-0.007988635","-0.220084652"," 0.520443880","-0.282112768"," 0.303932752","-0.209858209","-0.247271776","-0.080495490","-0.231059521","-0.645319984"," 0.254344808","-0.306475046","-0.185565743","-0.092750192"," 0.308906517","-0.224202685"," 0.090820788","-0.837562672"," 0.100120622","-0.283142884"," 0.539480146"," 0.411343813","-0.063965398","-0.171419530","-0.791690979"," 0.259192431"," 0.140861006"," 0.032708124"," 0.288843055","-0.035191878","-0.294259083"," 0.506539382"," 0.400694425"," 0.965304464","-0.112576703","-0.916338205"," 0.812772707"," 0.477766154"," 0.655141719"," 0.624462702","-0.322213438"," 0.014428001"," 0.450283354"," 0.302560135"
"Bin.8.18","-0.4377487124"," 0.0135719463","-0.5006142450","-0.2463162008","-0.8670242202","-0.1173042368","-0.0755068792","-0.2594600505"," 1.5109566794","-0.1334898653","-0.1382022711","-0.0212548588","-0.2830397375"," 0.0437554656","-0.2035294013","-0.6282712565"," 0.0732646772","-0.3048908184","-0.0708898075","-0.2330931302"," 1.7117484661","-0.2501415764"," 0.0006826006","-0.0837751905"," 1.3599890116","-0.2851462825"," 0.2886854401"," 0.2435561865","-0.3782338282","-0.1660571989","-0.6390394134"," 0.1299870456"," 0.0535920254"," 0.0705834460"," 0.3888831795","-0.1706530434","-0.3086603895"," 0.2199911619","-0.0228519373"," 0.2623311322","-0.3883854790","-0.6943999436"," 0.5801956011"," 0.1788358389"," 0.4338237803"," 0.2518247606"," 0.1883698121","-0.6015065559"," 0.3580648443"," 0.1467934289"
"Bin.8.14","-0.119658340"," 0.646543215","-0.555526544","-0.692148533","-0.709183657","-0.674589465","-0.123353305","-0.283759922","-0.180340260","-0.484161235","-0.548809400","-0.119466841","-0.909435522"," 0.298565083","-0.676670932","-1.216832677"," 0.007954813","-0.462173999"," 0.111638304","-0.239875802","-0.341556555","-0.203046781","-0.358951671","-0.729678112"," 0.226140441"," 0.195451673"," 0.592130092"," 0.360200667"," 0.047765874"," 0.271325743","-0.003065922"," 0.459718734"," 0.578508442"," 0.257944755"," 0.782135914"," 0.412042481"," 0.159970186"," 0.326868180"," 0.368931812"," 0.561676407"," 0.155609911","-0.520145873"," 1.049370109"," 0.495192380"," 0.747500708"," 0.027216420"," 0.366520026","-0.658033556"," 0.733453829"," 0.570088701"
"Bin.8.10"," 0.276177565"," 0.360424208"," 0.991660521","-0.553249285","-0.404326138","-0.638674829","-0.279824603","-0.059086782","-0.573587936","-0.055034461","-0.443459832"," 0.483742833"," 0.121377050"," 0.833561746","-0.489903449"," 0.165700286","-0.098603891","-0.819651495"," 0.327960409"," 0.491145189","-0.538193753","-0.677417382","-0.423772709","-0.147300084"," 0.055550188","-0.356969088"," 0.278098733","-0.050123804"," 0.694444132","-0.218940887","-0.490960848"," 0.061512380"," 0.015911425"," 0.080413551"," 0.439482007"," 0.617408144"," 0.373110280","-0.224460907"," 0.385248483"," 0.216631094"," 0.068210550","-0.885780359"," 0.804566415"," 0.009241305"," 0.436180497","-0.258671247"," 0.306751031","-0.866284365"," 0.294700931"," 0.365067181"
"Bin.8.06"," 0.30395520"," 0.22620192"," 0.44790589"," 0.23380497","-0.48703021","-0.63430274","-0.22727825","-0.21886324","-0.13892341","-0.08461385","-0.50100251"," 0.30855779","-0.63764357"," 0.47630822","-0.21418575","-0.16631400"," 0.53055406","-1.00809040"," 0.58067130"," 0.79681862","-0.29802677","-0.53142545","-0.44483093","-0.09933976"," 0.19495791","-0.22633035"," 0.89410105"," 0.09285746"," 0.40764458"," 0.01511199","-0.53232272"," 0.13567588"," 0.04986174"," 0.15241961"," 0.40563882"," 0.30136294"," 0.04729604","-0.14400062"," 0.13086527"," 0.26067723","-0.05874656","-0.70029949"," 0.85567008"," 0.03200434"," 0.36271394","-0.26659359"," 0.13184793","-1.04155540"," 0.17762914"," 0.10860567"
"Bin.8.02"," 0.247180023"," 0.187886283","-0.299214725","-0.357676037","-0.705839826","-0.317540118"," 0.522017568","-0.201036113"," 0.985061878","-0.263664974","-0.468124487"," 0.584628538","-0.480680383"," 0.020338579"," 0.085960395","-0.813920458"," 0.414956973","-0.080271612"," 0.342724497"," 0.186359835"," 0.484989658","-0.340319502","-0.293329669","-0.258770340"," 1.077841642","-0.282856596"," 0.042984189"," 0.311631229","-0.041016329","-0.283578459","-0.458066060","-0.004309500","-0.098445104","-0.090303465"," 0.262879605"," 0.688081169","-0.169798722"," 0.007169873"," 0.084896789"," 1.052982175","-0.247063764","-0.859317898"," 0.468511288"," 0.125497937"," 0.347026983","-0.240349722","-0.172307278","-0.854216861","-0.044641576"," 0.195052472"
"Bin.7.98"," 0.620332135"," 0.613566376","-0.598239365","-0.518836883"," 0.020811944","-0.605435655","-0.036308874","-0.114568787"," 0.314694317","-0.037120727","-0.576761399"," 0.503079782","-0.291523956","-0.181838668","-0.141841604"," 0.590948537","-0.258174305"," 0.554360568"," 0.015565683","-0.356103973","-0.074221572"," 0.650769384","-0.465095438"," 0.164801496","-0.117020097"," 0.426967796","-0.114013705","-0.128778233","-0.097310954"," 0.412059553","-0.312088429","-0.460633834"," 0.235930471","-0.067009740"," 0.325415344"," 0.514114941"," 0.297027442"," 0.343560738","-0.274133383","-0.422836333"," 0.002357324","-0.669311857","-0.056598984","-0.100396880"," 0.304089660"," 0.544677535"," 0.382469366","-0.818275445"," 0.253673440","-0.196794752"
"Bin.7.94"," 0.257933989","-0.394350610"," 0.693609816","-0.017663635","-0.418857964","-0.244821720"," 0.248275337"," 0.100356128","-0.453571199"," 0.599664755","-0.248512897","-0.097193536"," 1.013149662"," 0.003205652"," 0.070489198","-0.653492147","-0.241881995","-0.149310431","-0.420547729"," 0.684988806","-0.275645103","-0.446699265"," 0.033739417","-0.087368342","-0.191796565","-0.085886665","-0.032000256","-0.180616546","-0.164550143"," 0.285735911","-0.355128884","-0.350968059"," 0.113195531"," 0.204717434"," 0.044770782"," 0.537816346"," 0.570410558"," 0.012713645","-0.144148905"," 0.118972873"," 0.595500601","-0.787549074"," 0.606977659","-0.232451290","-0.036127681"," 0.352152434"," 0.874525974","-1.072146453"," 0.425366712","-0.664982127"
"Bin.7.90"," 0.05124204","-0.30967118","-0.44003491","-0.34707053","-0.27650768","-0.15299336"," 0.44312663"," 0.07038356","-0.45078081"," 0.25451425"," 0.01503648","-0.43615053","-0.93585966","-0.50243739","-0.61064858"," 0.78998079","-0.34365207"," 0.80838728","-0.38645993","-0.11578351","-0.85621553","-0.85730630"," 0.67374069"," 0.55157733","-0.01569315"," 0.37857754","-0.22449043"," 0.34001823","-0.44210925"," 0.19161637"," 0.23821454","-0.11439976"," 1.06979089","-0.07011356"," 0.06702139"," 0.25229243","-0.15482989"," 0.26314539"," 0.17923802"," 0.05685619","-0.02092060","-0.12851754"," 0.63162753"," 0.35224378","-0.02540365"," 0.34429079"," 0.19153932","-0.14013449"," 0.17308258","-0.02935976"
"Bin.7.86"," 0.24815351"," 0.04452288"," 0.34596562","-0.05779367"," 0.43819046"," 0.67715914"," 0.01234175","-0.46453256"," 0.13251072"," 0.35871343"," 0.65534856"," 0.32140752"," 0.67963622"," 0.49275741"," 1.01076332"," 0.54453355"," 0.06930740"," 0.85298047"," 0.35910869"," 0.32939437"," 0.51353967","-0.44031549"," 0.31667851"," 0.16718245"," 0.38920332","-0.52423411","-0.58613461","-0.61881972"," 0.19154329","-0.39514320"," 0.82196126","-0.40911858","-0.94354178"," 0.27711752"," 0.35390256"," 0.04129541"," 0.44774731","-0.39430228","-0.75068006","-0.58014683","-0.16128305","-0.47712039","-0.17632780","-0.92034929","-0.89169073"," 0.14944322"," 0.42435324","-1.03148625","-1.03273490","-0.81100749"
"Bin.7.82"," 0.072020271","-0.004932464"," 0.352226214","-0.081950376"," 0.630880720"," 0.582286647"," 0.148281956","-0.573378821"," 0.118583547"," 0.404036742"," 0.535052227"," 0.485190823"," 0.596866574"," 0.472852551"," 1.136643892"," 0.737539759","-0.031072487"," 0.833804687"," 0.313315617"," 0.318159904"," 0.712054468","-0.311711045"," 0.457200391"," 0.460759976"," 0.550035294","-0.695082802","-0.622062277","-0.833745863"," 0.233576233","-0.277582551"," 0.789949593","-0.388897442","-1.032827413"," 0.301727487"," 0.216494260","-0.042397425"," 0.413300924","-0.528725382","-0.870930775","-0.646892707","-0.244378404","-0.333474057","-0.142967731","-1.053593092","-0.761486149"," 0.237994876"," 0.466088052","-1.146512926","-1.076763706","-0.875557787"
"Bin.7.78"," 0.36715021"," 0.26242015"," 0.26231171","-0.56835516","-0.41237821","-0.12169099","-0.66803953"," 0.63610935"," 0.01063153","-0.20292259","-1.08777780","-0.36449616","-0.28615868"," 0.20686990","-0.26769785","-0.09171965"," 0.23014996","-0.27231450","-0.26558592","-0.68927872","-0.07552868"," 0.28236173","-0.42932818"," 0.14213130","-0.08878311","-0.23761670"," 0.27017216"," 0.24384896"," 0.11201871"," 0.81211880"," 0.23361866"," 0.40899844"," 0.01143932"," 0.27683875"," 0.09877937"," 0.05727281","-0.14596963","-0.07675265"," 0.74595176"," 0.31619079","-0.18534710","-0.05321622"," 1.13242181"," 0.12393111"," 0.36336384"," 0.12561874","-0.10892515","-1.09572979"," 0.28338230","-0.22048920"
"Bin.7.74","-0.04686422","-0.46369411"," 0.54423497"," 0.19823669","-0.78359680","-0.17794449"," 0.25659632"," 0.61849080","-0.02675145"," 0.38505024","-0.81922077","-0.11553540"," 0.18825461"," 0.36762768","-0.19217571","-0.07374186"," 0.44062207","-0.15375735","-0.36958256"," 0.23242164","-0.48524298","-0.50573856","-0.56823452","-0.20621462","-0.10708399","-0.20448350"," 0.60166828"," 0.12149435"," 0.08126888"," 0.38661885"," 0.24475894"," 0.30972660","-0.20075980"," 0.05748743"," 0.06619972"," 0.18675315","-0.27633312"," 0.06688402"," 0.57236261"," 0.37042744","-0.01589036","-0.12016497"," 0.63649933"," 0.02113430"," 0.33126549","-0.25015492"," 0.10120484","-0.80052076"," 0.07531850","-0.49892090"
"Bin.7.70"," 0.140216165"," 0.078860685","-0.370249518"," 0.003196657","-0.083582243"," 0.001419407"," 0.263836077"," 0.001652979"," 0.217317987"," 0.027507371","-0.379042728"," 0.107242963","-0.389503401","-0.054089338","-0.471680156"," 0.656698353","-0.057543406"," 0.127771210","-0.648084149","-0.167676327","-0.478152805","-0.088912576"," 0.164562439"," 0.232432977","-0.114402822"," 0.182823474"," 0.020358242"," 0.125956860","-0.324135372"," 0.146392201","-0.050904530","-0.384721203","-0.434322650"," 0.018211676","-0.082477280"," 0.570229128"," 0.205244676"," 0.436332959"," 0.760230494"," 0.152021301","-0.073289856","-0.988912336"," 0.443551567"," 0.128836471"," 0.245542219"," 0.310684036"," 0.625435481","-0.864385047"," 0.285656869","-0.174155184"
"Bin.7.66"," 0.08106850"," 0.03394042"," 0.27553411","-0.06063025"," 0.21707548"," 0.54635960"," 0.01809225","-0.26750501"," 0.23082688"," 0.35885780"," 0.57111549"," 0.28104178"," 0.63993861"," 0.44656429"," 0.87785962"," 0.66373915"," 0.02402692"," 0.81982547"," 0.36757823"," 0.26874109"," 0.47373428","-0.38942672"," 0.16072520"," 0.18541185"," 0.33410765","-0.43814238","-0.70558282","-0.30826508"," 0.16461817","-0.04002883"," 0.76523690","-0.31499171","-0.66592481"," 0.10065915"," 0.34024906"," 0.09529708"," 0.26272340","-0.38477952","-0.48508664","-0.70195024","-0.05246768","-0.53610433","-0.16125955","-0.94648103","-0.72396940"," 0.18831657"," 0.40487157","-0.99125042","-0.97359864","-1.05069150"
"Bin.7.62"," 0.03820866","-0.11129491"," 0.23500242","-0.34853593"," 0.65271626"," 0.50271657"," 0.15872770","-0.73522548","-0.10151416"," 0.24513981"," 0.36360870"," 0.33631824"," 0.47531103"," 0.39479299"," 1.16676366"," 0.69681034","-0.20146868"," 0.67066331"," 0.26654169"," 0.18882339"," 0.65987075","-0.42554124"," 0.40948575"," 0.37443737"," 0.52500921","-0.58376543","-0.34604997","-0.78177959"," 0.14480157","-0.25732173"," 0.71477438","-0.13816464","-0.75196447"," 0.38945590"," 0.17065193"," 0.09756195"," 0.50938644","-0.46852549","-0.72279822","-0.37472400","-0.26263310","-0.46445656"," 0.04832761","-0.72191143","-0.49852965"," 0.38733997"," 0.48036997","-1.57057839","-0.86481542","-0.57201904"
"Bin.7.58"," 0.119845134","-0.017060629"," 0.335748340"," 0.023944396"," 0.421558467"," 0.548244650","-0.002995198","-0.559710721"," 0.173598327"," 0.318103731"," 0.488929747"," 0.347622941"," 0.692579171"," 0.550813264"," 1.076177179"," 0.550268598"," 0.026814656"," 0.795912274"," 0.337846161"," 0.262026973"," 0.510227502","-0.421996451"," 0.277029645"," 0.161621792"," 0.386157161","-0.513520386","-0.497396909","-0.769745091"," 0.221967195","-0.073534999"," 0.763559863","-0.276665633","-0.800851900"," 0.234412765"," 0.361798793"," 0.130186096"," 0.456807295","-0.380533338","-0.822918979","-0.565263419","-0.071658152","-0.419091445","-0.088399525","-0.812677911","-0.547247232"," 0.259086797"," 0.412313388","-1.886450729","-0.921655416","-0.795828241"
"Bin.7.54"," 0.0781352725"," 0.0004174208"," 0.3383052033","-0.0363384534"," 0.5504340724"," 0.5838599791"," 0.3607285987","-0.4573689589"," 0.0847275977"," 0.3942115067"," 0.4972005498"," 0.3668102275"," 0.5912888738"," 0.4792883621"," 1.0559105601"," 0.7389804449","-0.0723876305"," 0.8138416849"," 0.2976328105"," 0.3095614913"," 0.6439784068","-0.3005841426"," 0.4014839472"," 0.3852635793"," 0.4542993984","-0.6454028683","-0.5172601391","-0.9317475180"," 0.2146677581","-0.3068890312"," 0.7371183665","-0.2814103750","-0.8063488921"," 0.3219728918"," 0.2088803244"," 0.0325564412"," 0.4314932213","-0.4771753770","-0.9265091089","-0.5230950741","-0.1980080451","-0.4565837471","-0.2407541703","-0.9065403752","-0.6298900394"," 0.2807987786"," 0.4470860259","-1.4179079388","-1.2455051233","-0.7232267875"
"Bin.7.50"," 0.364786620","-0.024600954","-0.057906449","-0.214663022"," 0.414980242"," 0.474666357"," 0.221208282","-0.202761338"," 0.301877002"," 0.194586298","-1.149952004"," 0.401523059","-0.215212500"," 0.598412748","-0.413181895"," 0.588241946","-0.185409832","-0.114515462","-0.219268816","-0.427253028"," 0.092315392","-0.176292184","-0.209882910"," 0.419474532"," 0.124292746"," 0.199460519"," 0.011568574"," 0.095558381","-0.129705254"," 0.492507137","-0.006892169"," 0.415101812"," 0.065673477"," 0.134824133","-0.323532024"," 0.507563217","-0.401260529"," 0.142140951","-0.189185974","-0.452122147","-0.115910170","-0.556227446"," 0.702692068","-0.335786236"," 0.371430487"," 0.213174437"," 0.353605181","-1.759676455"," 0.015645887","-0.036112690"
"Bin.7.46"," 0.32818129","-0.14418101","-0.29206088","-0.30672034"," 0.48016988","-0.19023388","-0.05642010","-0.37877737"," 0.24514959"," 0.04143229","-0.79583769"," 0.45617690","-0.64533529"," 0.39979126","-0.29586761"," 0.15496236","-0.18316454","-0.28366470"," 0.04844311","-0.65638158","-0.21584022","-0.50229316","-0.83209233","-0.16866804","-0.22114117"," 0.21088596"," 0.07583969"," 0.22805625","-0.06941520"," 0.70270726"," 0.25549207"," 0.78398894"," 0.35271981","-0.05376850"," 0.01101593"," 0.61103819"," 0.11509303"," 0.42874069"," 0.10961363","-0.26642481"," 0.54085487","-0.03864907"," 0.12537522"," 0.05719700"," 0.42023344"," 0.42621517"," 0.21953650","-1.07617594","-0.33032889"," 0.17453200"
"Bin.7.42"," 0.453349519","-0.159334609","-0.296671360","-0.696521868"," 0.560529788","-0.405156927"," 0.155315152"," 0.010758455"," 0.251378525"," 0.053510955","-0.504085993"," 0.838804986","-0.577042326"," 0.174737614","-0.181709167"," 0.065348317","-0.436969286"," 0.070727182","-0.057794947","-0.391024850","-0.007131337","-0.370862259","-0.491055089"," 0.086242204","-0.070896956"," 0.222385042","-0.261432123","-0.337308593","-0.113651621"," 0.792052193","-0.192775179","-0.386944093"," 0.504059234"," 0.118365113"," 0.170308251"," 0.264192118"," 0.487593872"," 0.445991782","-0.221675359","-0.477666408"," 0.760455348"," 0.417995518","-0.444159377","-0.175081050"," 0.343960968"," 0.693984251"," 0.567438644","-0.489963935","-0.652623225","-0.109947094"
"Bin.7.38"," 0.39591245","-0.21970692","-0.28427033","-0.51370492"," 0.55175728","-0.28719628"," 0.22542407"," 0.15540081"," 0.29318423"," 0.08496991","-0.47227340"," 0.70686726","-0.51902557"," 0.42780595","-0.26642744"," 0.14930533","-0.46959002"," 0.03220365","-0.14791903","-0.33723975","-0.16898779","-0.42780477","-0.61379245","-0.03931114","-0.10734946"," 0.13307313","-0.32097282","-0.24001287","-0.18824205"," 0.75365109","-0.06722504"," 0.23329470"," 0.48902838"," 0.02456136"," 0.21472199"," 0.28627555"," 0.43684952"," 0.48017821","-0.12972505","-0.43343480"," 0.77582380"," 0.04998843","-0.40387100","-0.21512090"," 0.22126590"," 0.65769627"," 0.54092478","-0.61054186","-0.70011553","-0.13630283"
"Bin.7.34"," 0.22352294","-0.15290947","-0.40630644","-0.38113345"," 0.79599230","-0.40617113"," 0.06056768","-0.11898869"," 0.13207509"," 0.17887866","-0.54858118"," 0.64562160","-0.51249531"," 0.39434066","-0.17215144","-0.08077760","-0.30179605","-0.10869569","-0.24193610","-0.45200879","-0.05348703","-0.21588888","-0.40953221"," 0.25518798","-0.07982397"," 0.17571493","-0.23778271","-0.23614447","-0.11354739"," 0.69489900","-0.04419318"," 0.52465990"," 0.20564587"," 0.02011075","-0.03618442"," 0.31038970"," 0.29272921"," 0.43799028","-0.22585132","-0.45658665"," 0.46873102"," 0.57746385","-0.14028193","-0.17010838"," 0.09264640"," 0.67024870"," 0.50553939","-0.45612923","-0.57019925","-0.33326357"
"Bin.7.30"," 0.4006454256","-0.1469658929"," 0.3515785080","-0.1647000096"," 0.2670800251"," 0.0953185897"," 0.1451343092"," 0.4049117469","-0.0920419680"," 0.2322065265","-0.4536058016"," 0.8719476986","-0.2349051894"," 1.0633930589"," 0.4378399782"," 0.2616626560"," 0.2364276870"," 0.3613837206","-0.0007543804"," 0.0407877315","-0.1750191005","-0.3194056535","-0.2716140142"," 0.3302007918"," 0.1635067231","-0.1486603712","-0.1942430552"," 0.0065569884","-0.1977194311"," 0.5867046440"," 0.0716315318"," 0.2240625269","-0.4443622937","-0.0920526836"," 0.0675620776","-0.1395446640","-0.3437136080","-0.0616479024","-0.1584730874","-0.4577511135","-0.0328292385","-0.0058487836"," 0.3471353853","-0.4311226164","-0.4307668471","-0.1380170485"," 0.2856306368","-1.1188037512","-0.4347702239","-0.5639702381"
"Bin.7.26"," 0.31521795","-0.04286100","-0.62854047","-0.84139695"," 0.54207558","-0.44387930"," 0.21012181","-0.05492749","-0.28263808"," 0.41260208","-0.68953372"," 0.86877253","-0.46801252","-0.02281678"," 0.28887399"," 0.26415726","-0.39553340"," 0.11661614"," 0.18656502","-0.11155801"," 0.19191157","-0.40680306","-0.05453392"," 0.48169561","-0.08657081","-0.04456408","-0.28593054"," 0.03747378"," 0.25452663"," 0.98035947"," 0.33007714"," 0.07838487","-0.15790700","-0.12569324"," 0.41830816"," 0.33140344","-0.10793448"," 0.25185115","-0.03440832","-0.69148489"," 0.51982368","-0.16503002"," 0.34311592","-0.45854201","-0.39633615"," 0.08525426"," 0.55945950","-0.86269602","-0.25619852"," 0.04768322"
